numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,cudachain,qhull
33554432,0.1539924500001104,1.4297150074090368,7.807824124652525,13.436590133165991,9.440486935183666,8.396565524094472,0.3175138355987864
67108864,0.14290128273903502,1.3898328825178177,7.879460493811756,15.420015216621671,9.116404563441504,8.341371701596318,0.3208597285477794
100663296,0.1510448069772139,1.4060497916287926,7.797268725856976,18.25964010192828,9.720237547806331,9.280189507123625,0.3485790384772128
134217728,0.14930918338163676,1.5153981453988579,8.902941159741273,17.809219941948644,9.888856824403138,9.108669279226941,0.3330489749550649
167772160,0.14833028297670908,1.475484333337078,9.095126472833801,19.53372493475249,9.868622867420413,9.082914505902485,0.3509158922460858
201326592,0.16750778573226258,1.5657780683201825,10.19821794005061,21.525766185194634,10.500406952995226,10.238366996766128,0.4185882612554499
234881024,0.16512973815367132,1.4471894056796066,9.853707984705173,20.976940875715933,9.8770035197395,10.149731913200435,0.4137589584217155
268435456,0.16285682282806874,1.5597117869161694,9.895882688973998,21.52000736964416,10.369615660125126,10.71892326367853,
301989888,0.161283895078379,1.4597613264460194,10.033905652186343,21.220240076792976,9.937510022700904,9.974538941288746,
335544320,0.15745172775767002,1.5263537733730161,9.707245058323341,21.255696434692283,10.213742388343272,9.759910534814441,
369098752,0.16368052666847122,1.494050385937059,10.116855547789909,22.440745739866035,10.124783897846443,10.323300025415497,
402653184,0.15463275653073788,1.4145639899948483,9.872009814579403,20.831589012560947,9.60415368739115,10.023728182125025,
436207616,0.1580259454897466,1.237814791167544,9.844468328455878,20.181620031727917,8.791687742191518,10.343602766126368,
469762048,0.15788625399782555,1.3218695650704728,9.858207336143696,21.955442184500736,9.253273655180246,10.176354440054734,
503316480,0.15845721047646574,1.252399759765582,10.087792954616445,21.461211130933947,8.78693899570505,10.12205595764028,
536870912,0.15671237800255863,1.3251967755330811,9.893252109560569,22.164064969910925,9.242768771790166,10.336839622471063,
570425344,0.15604018519644283,1.2577240055671763,10.133195492355227,22.696482814609382,8.934868736143784,10.512652712836884,
603979776,0.15437191416083,1.3158226033051397,10.104632512893152,21.652832509215948,9.161113247608734,10.372994306628307,
637534208,0.12699496725826076,1.3853932539628484,8.04622926828076,18.010443645679622,9.074252258511075,8.379537112521096,
671088640,0.12559175306055811,1.4601699488108355,8.329773024285641,17.793682303783967,9.389977266362948,8.250443875592726,
704643072,0.12640406421239725,1.3845798523933965,8.075664832095589,17.438259712467524,9.051662200984527,8.192618128678811,
738197504,0.12602406223913667,1.4667844613053538,8.112122363334072,18.274354792255153,9.55290296473279,8.09693178628314,
771751936,0.12973600418580983,1.4472297640807867,9.005246453516673,20.251099864060432,9.452518212187107,8.615184172093187,
805306368,0.12421450771062899,1.426579084914257,8.414259075025566,18.348637141457818,9.147875063749225,8.12059437044881,
838860800,0.12065682899423363,1.343168706752133,8.154196004512194,18.088089058394328,8.812769875640516,7.93429290577781,
872415232,0.12189564553032707,1.4352143613607578,8.430248608668348,19.408841542203746,9.340152405163542,8.020298235825717,
905969664,0.121313817890026,1.3602732647654476,8.330348856324006,18.981608511336336,8.87994145752824,8.045113374196042,
939524096,0.12137074841663478,1.4320214475899784,8.309466462759671,17.854740916991112,9.199420093176323,8.142094955200108,
973078528,0.14154099377411153,1.3034494866715853,9.675410845054705,19.61267954926446,9.05998318961686,9.432410470673632,
1006632960,0.14202559682884233,1.3949085612948653,9.860031482527498,20.342043921599153,9.405431326738963,9.667245372353262,
1040187392,0.13925057164646754,1.295392124063497,8.68870144271266,22.1740313228947,8.913779781558398,9.366127284677551,
1073741824,0.1430172188375156,1.4010596324132787,10.13472515538588,22.05718738175442,9.561973580140926,9.65093426299981,
