numero,cgal_graham_andrew,cpu_manhattan,cpu_euclidean,gpu_scan,cub_flagged,thrust_scan,thrust_copy,omp_euclidean,omp_manhattan
0.0,1.08188807080626,0.8448628239092161,0.8453085600637652,0.9416945293054937,0.9376129059542259,0.9403662871133691,0.9183698376945795,0.5215138442493698,0.5143825221853419
0.02,1.0985695320356228,0.9294308953103626,0.9188184855395098,1.0857576971001033,1.0864202840662505,1.0881451964627515,1.0522122988843574,0.5548791543843818,0.5540468952649823
0.04,1.0607722978648952,1.0552621499887596,1.04273210839426,1.266035464996701,1.264770761004808,1.2651783942185892,1.2210319868571946,0.6444256427180218,0.6553262774352391
0.06,1.0468710049949026,1.3647665109662788,1.3535003858145993,1.7723180551528517,1.7732190723050754,1.7702417055994015,1.7470827890208365,0.8795985612332818,0.8914094528053749
0.08,1.0158644237746173,2.7484636842627075,2.6751788855500878,4.621133586378936,4.634911349095378,4.620646915268485,4.812551757815425,2.2569651839810283,2.2593449386100053
0.1,0.9862130949283887,5.360474418060205,5.109971003267162,21.165883908859467,21.349948620179713,21.523575756068535,27.64443713558575,18.47818538171285,18.41712898110977
0.12,0.9641800477037759,5.288452121170622,5.043865528661074,20.578031238450144,20.765220513824612,20.928623750770026,26.772556861431678,18.03478649812118,17.991966283543555
0.14,0.9311997735881667,5.123723198337904,4.879907213928267,19.69980682637234,19.862860493074063,20.041200316595884,25.41032510856497,15.294802940799359,15.561114053426461
0.16,0.895715501901093,4.955729850970131,4.71951139069341,18.79866244689273,18.96186418302134,19.121163182804356,24.020249663775772,13.299810388670169,13.423198896510259
0.18,0.8730994283429648,4.8358338734313655,4.611195269101404,18.214891079050012,18.2837757344283,18.547755538416748,23.29054921271764,11.918662626560252,11.991375973438979
0.2,0.8261283465903213,4.646462999248217,4.431371715748401,17.36387837506041,17.594797398738923,17.682380239449344,21.980949584433873,10.688410319222353,10.711433611503876
0.22,0.7828441778930088,4.4670167264076825,4.259974848443155,16.507922263297687,16.689698818783352,16.86385637032623,20.761882684128008,9.599690715078328,9.693808654975129
0.24,0.7547029638189372,4.3432249570147015,4.13631590647497,15.938601745970887,16.099346279509287,16.21867820951486,19.75036128350198,9.3109281924331,8.89185525817012
0.26,0.7224998461137995,4.2559198417950155,4.055673253920311,15.272257325002634,15.498386108123167,15.5199811967638,18.975996195315506,8.835229369446141,8.576394171930882
0.28,0.6799345350893351,4.01811338170263,3.8377365055275523,14.338418317175055,14.53727129470366,14.611424072030001,17.864704495330855,8.028628767874258,8.174647582587806
0.3,0.6147422625464395,3.5893945267619736,3.4211084387089654,12.649367360961813,12.765093574105402,12.851784269249245,15.698698103297362,7.032429166090964,7.0618398778047355
